phenotype_id,phenotype_name,ltc_id,ltc_name,sex,ltc_type,body_system,code_type,code,description
ACSN,Acute coronary syndrome,NSMI,Non-ST-elevation myocardial infarction,either,physical,cardiovascular,icd9cm,,
ACSN,Acute coronary syndrome,STMI,ST-elevation myocardial infarction,either,physical,cardiovascular,icd9cm,,
ACSN,Acute coronary syndrome,UACS,Unspecified acute coronary syndrome,either,physical,cardiovascular,icd9cm,,
ACSN,Acute coronary syndrome,UNMI,Acute coronary syndrome,either,physical,cardiovascular,icd9cm,,
ACSN,Acute coronary syndrome,UNSA,Unstable angina,either,physical,cardiovascular,icd9cm,,
ADHD,Attention deficit hyperactivity disorder,ADHD,Attention deficit hyperactivity disorder,either,mental,neurodevelopmental,icd9cm,,
ADRN,Adrenal insufficiency,ADRN,Adrenal insufficiency,either,physical,endocrine,icd9cm,,
AFIB,Atrial fibrillation and flutter,AFIB,Atrial fibrillation and flutter,either,physical,cardiovascular,icd9cm,,
ALCO,Alcohol misuse,ALCO,Alcohol misuse,either,mental,behavioural,icd9cm,,
AMYL,Amyloidosis,AMYL,Amyloidosis,either,physical,haematological,icd9cm,,
ANAE,Anaemia,APLA,Aplastic anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,BDEF,B12 deficiency anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,FOLA,Folate deficiency anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,HEMO,Haemolytic anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,IRON,Iron deficiency anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,OTAN,Other specified forms of anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,SICA,Sickle cell anaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,SICT,Sickle cell trait,either,physical,haematological,icd9cm,,
ANAE,Anaemia,THLA,Thalassaemia,either,physical,haematological,icd9cm,,
ANAE,Anaemia,THLT,Thalassaemia trait,either,physical,haematological,icd9cm,,
ANAE,Anaemia,USAN,Unspecified anaemia,either,physical,haematological,icd9cm,,
ANEU,Autonomic neuropathy and dysfunction,ANEU,Autonomic neuropathy and dysfunction,either,physical,neurological,icd9cm,,
ANKY,Ankylosing spondylitis,ANKY,Ankylosing spondylitis,either,physical,rheumatological,icd9cm,,
ANXI,Anxiety disorders,DISS,Dissociative and conversion disorders,either,mental,mental health,icd9cm,,
